Gemeente;Inwoners per km² land
's-Gravenhage (gemeente);6 901
Leiden;5 978
Haarlem;5 776
Amsterdam;4 968
Delft;4 861
Capelle aan den IJssel;4 852
Gouda;4 638
Schiedam;4 618
Rijswijk (ZH.);4 344
Maassluis;4 315
Utrecht (gemeente);4 018
Krimpen aan den IJssel;3 882
Zoetermeer;3 772
Hoorn;3 732
Veenendaal;3 622
Nijmegen;3 579
Oegstgeest;3 573
Papendrecht;3 431
Vlaardingen;3 307
Hendrik-Ido-Ambacht;3 226
Rotterdam;3 081
Heemstede;3 013
Nieuwegein;2 852
Eindhoven;2 829
Diemen;2 781
Katwijk;2 704
Amersfoort;2 613
Huizen;2 606
Barendrecht;2 480
Leiderdorp;2 414
Leidschendam-Voorburg;2 402
Beverwijk;2 345
Amstelveen;2 331
Voorschoten;2 331
Alblasserdam;2 307
Maastricht;2 251
Zaanstad;2 208
Zwijndrecht;2 200
Westervoort;2 168
Gorinchem;2 076
Kerkrade;2 076
Sliedrecht;2 071
Hilversum;2 070
Ridderkerk;2 045
Heerlen;1 949
Tilburg;1 830
Helmond;1 816
Almere;1 777
Hillegom;1 773
Uithoorn;1 772
Arnhem;1 733
Urk;1 687
Aalsmeer;1 654
Brunssum;1 597
IJsselstein;1 587
Dordrecht;1 583
Pijnacker-Nootdorp;1 576
Velsen;1 555
Stede Broec;1 537
Veldhoven;1 503
Breda;1 502
Lisse;1 502
Landgraaf;1 499
Enkhuizen;1 488
Oldenzaal;1 486
's-Hertogenbosch;1 475
Gooise Meren;1 472
Dijk en Waard;1 466
Westland;1 448
Heemskerk;1 444
Wageningen;1 407
Hengelo (O.);1 375
Zeist;1 375
Teylingen;1 356
Vlissingen;1 331
Groningen (gemeente);1 318
Geldrop-Mierlo;1 314
Heiloo;1 301
Tiel;1 298
Harderwijk;1 286
Waddinxveen;1 262
Den Helder;1 256
Lansingerland;1 240
Albrandswaard;1 233
Zwolle;1 209
Nissewaard;1 205
Zutphen;1 198
Stein (L.);1 178
Sittard-Geleen;1 177
Blaricum;1 169
Enschede;1 153
Hardinxveld-Giessendam;1 134
Almelo;1 113
Soest;1 038
Middelburg (Z.);1 037
Culemborg;1 034
Purmerend;1 025
Alkmaar;1 023
Roermond;1 009
Doesburg;962
Borne;952
Dongen;941
Best;934
Houten;928
Laren (NH.);925
Alphen aan den Rijn;919
Bergen op Zoom;878
Assen;860
Oostzaan;842
Zuidplas;841
Haarlemmermeer;838
Venlo;837
Geertruidenberg;825
Etten-Leur;822
Oosterhout;817
Waalre;800
Deventer;799
Waalwijk;794
Noordwijk;787
Baarn;774
Beek (L.);771
Lingewaard;770
Scherpenzeel;764
Doetinchem;760
Bunschoten;746
Castricum;738
Duiven;736
Roosendaal;730
Nuenen, Gerwen en Nederwetten;722
Uitgeest;701
Son en Breugel;699
Meerssen;691
Stichtse Vecht;689
Renkum;685
Edam-Volendam;684
De Bilt;662
Nijkerk;660
Meppel;654
Harlingen;649
Simpelveld;641
Wijchen;634
Beuningen;613
Voorne aan Zee;612
Woerden;610
Ouder-Amstel;607
Bloemendaal;593
Heusden;588
Oss;588
Valkenswaard;582
Goirle;569
Hattem;552
Vught;550
Leeuwarden;547
Leusden;545
Zandvoort;542
Wassenaar;538
Maasgouw;536
Rheden;535
Druten;526
Landsmeer;523
Wijdemeren;519
Sint-Michielsgestel;517
Wijk bij Duurstede;501
Apeldoorn;496
Boxtel;496
Bodegraven-Reeuwijk;493
Weert;493
Zevenaar;488
Smallingerland;487
Beesel;485
Rhenen;485
Loon op Zand;484
Zoeterwoude;479
Mook en Middelaar;466
Kaag en Braassem;464
De Ronde Venen;461
Meierijstad;460
Beekdaelen;458
Overbetuwe;449
Valkenburg aan de Geul;448
Hoogeveen;446
Bunnik;441
Gilze en Rijen;436
Maashorst;435
Goes;434
Neder-Betuwe;430
Vijfheerenlanden;428
Wormerland;426
Heumen;424
Halderberge;421
Laarbeek;421
Vaals;419
Oisterwijk;413
Rijssen-Holten;413
Berg en Dal;412
Midden-Delfland;412
Woudenberg;404
Kampen;400
Maasdriel;399
Voerendaal;399
Ede;390
Krimpenerwaard;390
Zaltbommel;387
Utrechtse Heuvelrug;386
Medemblik;379
Nieuwkoop;376
Elburg;375
Gennep;374
Rucphen;373
Lelystad;370
Montfoort;366
Veendam;365
Bernheze;363
Barneveld;359
Kapelle;350
Montferland;350
Drechterland;348
Eijsden-Margraten;338
Hoeksche Waard;338
Waterland;338
Boekel;332
Ermelo;328
Emmen;327
Twenterand;321
Eemnes;320
Renswoude;314
Echt-Susteren;313
Opmeer;301
Bergen (NH.);300
Drimmelen;298
Koggenland;297
Altena;294
Putten;293
Oude IJsselstreek;290
Peel en Maas;288
Schagen;288
Deurne;286
Aalten;285
Zwartewaterland;285
Cranendonck;283
Bladel;279
Achtkarspelen;276
Venray;275
Heerenveen;273
Oost Gelre;273
Land van Cuijk;272
Stadskanaal;272
West Maas en Waal;270
Wierden;268
Oudewater;266
Hellendoorn;263
Gemert-Bakel;258
Brummen;256
Pekela;254
Someren;252
Molenlanden;250
Oldebroek;250
Asten;248
Eersel;247
West Betuwe;247
Heerde;246
Tynaarlo;245
Woensdrecht;242
Moerdijk;240
Losser;238
Roerdalen;236
Horst aan de Maas;234
Haaksbergen;231
Reimerswaal;229
Nunspeet;228
Dantumadiel;226
Raalte;226
Leudal;222
Terneuzen;222
Midden-Groningen;221
Tytsjerksteradiel;221
Epe;214
Winterswijk;212
Buren;209
Voorst;208
Hardenberg;203
Goeree-Overflakkee;199
Lopik;196
Gulpen-Wittem;192
Oirschot;192
Bergeijk;191
Zundert;189
Tholen;184
Dalfsen;182
Westerkwartier;179
Nederweert;175
Oldambt;175
Reusel-De Mierden;175
Súdwest-Fryslân;173
Berkelland;170
Hilvarenbeek;170
Hof van Twente;168
Steenbergen;168
Eemsdelta;167
Olst-Wijhe;167
Veere;165
Heeze-Leende;164
Waadhoeke;164
Borsele;163
Lochem;161
Noordenveld;160
Steenwijkerland;159
Dinkelland;152
Schouwen-Duiveland;151
De Fryske Marren;149
Tubbergen;146
Hollands Kroon;140
Hulst;136
Dronten;134
Opsterland;134
Staphorst;134
Bergen (L.);127
Bronckhorst;127
Coevorden;121
Noardeast-Fryslân;121
Weststellingwerf;121
Ooststellingwerf;116
Alphen-Chaam;113
Noordoostpolder;111
De Wolden;110
Ommen;107
Het Hogeland;101
Midden-Drenthe;100
Westerwolde;99
Zeewolde;98
Baarle-Nassau;95
Borger-Odoorn;95
Aa en Hunze;94
Noord-Beveland;94
Texel;85
Sluis;83
Westerveld;72
Ameland;67
Rozendaal;66
Terschelling;56
Vlieland;29
Schiermonnikoog;23
